index|itemID|simulationPrice|promotion|promotion_train|promotion_test|predicted_promotion
3149|3150|15.5||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 3), datetime.date(2018, 6, 5)]|2018-06-02
3149|3150|15.5||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 3), datetime.date(2018, 6, 5)]|2018-06-03
3149|3150|15.5||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 3), datetime.date(2018, 6, 5)]|2018-06-05
3150|3151|8.14|2018-07-08|[]|[datetime.date(2018, 6, 7)]|2018-06-07
3151|3152|14.57||[]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 10)]|2018-06-07
3151|3152|14.57||[]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 10)]|2018-06-10
3152|3153|33.94||[]|[]|
3153|3154|52.56||[]|[datetime.date(2018, 6, 5), datetime.date(2018, 6, 12)]|2018-06-05
3153|3154|52.56||[]|[datetime.date(2018, 6, 5), datetime.date(2018, 6, 12)]|2018-06-12
3154|3155|2.52||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 11)]|2018-03-31
3154|3155|2.52||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 11)]|2018-06-11
3155|3156|2.79||[datetime.date(2018, 4, 28), datetime.date(2018, 4, 29)]|[]|2018-04-28
3155|3156|2.79||[datetime.date(2018, 4, 28), datetime.date(2018, 4, 29)]|[]|2018-04-29
3156|3157|28.47||[datetime.date(2018, 3, 31)]|[]|2018-03-31
3157|3158|15.21||[datetime.date(2018, 4, 28)]|[datetime.date(2018, 6, 15)]|2018-04-28
3157|3158|15.21||[datetime.date(2018, 4, 28)]|[datetime.date(2018, 6, 15)]|2018-06-15
3158|3159|17.54||[datetime.date(2018, 3, 31)]|[]|2018-03-31
3159|3160|27.12||[datetime.date(2018, 4, 1)]|[]|2018-04-01
3160|3161|8.9||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 14), datetime.date(2018, 6, 15)]|2018-03-31
3160|3161|8.9||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 14), datetime.date(2018, 6, 15)]|2018-06-14
3160|3161|8.9||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 14), datetime.date(2018, 6, 15)]|2018-06-15
3161|3162|27.16||[datetime.date(2018, 4, 1)]|[]|2018-04-01
3162|3163|0.97||[datetime.date(2018, 3, 31)]|[]|2018-03-31
3163|3164|3.85||[datetime.date(2018, 3, 31)]|[]|2018-03-31
3164|3165|3.54||[]|[]|
3165|3166|10.34||[datetime.date(2018, 3, 31)]|[]|2018-03-31
3166|3167|10.93||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 14), datetime.date(2018, 6, 15)]|2018-03-31
3166|3167|10.93||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 14), datetime.date(2018, 6, 15)]|2018-06-14
3166|3167|10.93||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 14), datetime.date(2018, 6, 15)]|2018-06-15
3167|3168|5.34|2018-07-02|[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 15)]|2018-03-31
3167|3168|5.34|2018-07-02|[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 15)]|2018-06-07
3167|3168|5.34|2018-07-02|[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 15)]|2018-06-15
3168|3169|55.6||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 8)]|2018-03-31
3168|3169|55.6||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 8)]|2018-06-07
3168|3169|55.6||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 8)]|2018-06-08
3169|3170|4.95|2018-07-02|[datetime.date(2018, 3, 31)]|[]|2018-03-31
3170|3171|21.74||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 3)]|2018-03-31
3170|3171|21.74||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 3)]|2018-06-03
3171|3172|6.52||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 10)]|2018-03-31
3171|3172|6.52||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 10)]|2018-06-06
3171|3172|6.52||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 10)]|2018-06-07
3171|3172|6.52||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 10)]|2018-06-10
3172|3173|12.71||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 9), datetime.date(2018, 6, 14), datetime.date(2018, 6, 15)]|2018-03-31
3172|3173|12.71||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 9), datetime.date(2018, 6, 14), datetime.date(2018, 6, 15)]|2018-06-06
3172|3173|12.71||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 9), datetime.date(2018, 6, 14), datetime.date(2018, 6, 15)]|2018-06-07
3172|3173|12.71||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 9), datetime.date(2018, 6, 14), datetime.date(2018, 6, 15)]|2018-06-08
3172|3173|12.71||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 9), datetime.date(2018, 6, 14), datetime.date(2018, 6, 15)]|2018-06-09
3172|3173|12.71||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 9), datetime.date(2018, 6, 14), datetime.date(2018, 6, 15)]|2018-06-14
3172|3173|12.71||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 9), datetime.date(2018, 6, 14), datetime.date(2018, 6, 15)]|2018-06-15
3173|3174|28.91||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 9), datetime.date(2018, 6, 10), datetime.date(2018, 6, 11)]|2018-03-31
3173|3174|28.91||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 9), datetime.date(2018, 6, 10), datetime.date(2018, 6, 11)]|2018-06-07
3173|3174|28.91||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 9), datetime.date(2018, 6, 10), datetime.date(2018, 6, 11)]|2018-06-08
3173|3174|28.91||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 9), datetime.date(2018, 6, 10), datetime.date(2018, 6, 11)]|2018-06-09
3173|3174|28.91||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 9), datetime.date(2018, 6, 10), datetime.date(2018, 6, 11)]|2018-06-10
3173|3174|28.91||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 9), datetime.date(2018, 6, 10), datetime.date(2018, 6, 11)]|2018-06-11
3174|3175|24.37||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 5), datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 12), datetime.date(2018, 6, 15)]|2018-03-31
3174|3175|24.37||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 5), datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 12), datetime.date(2018, 6, 15)]|2018-06-05
3174|3175|24.37||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 5), datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 12), datetime.date(2018, 6, 15)]|2018-06-06
3174|3175|24.37||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 5), datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 12), datetime.date(2018, 6, 15)]|2018-06-07
3174|3175|24.37||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 5), datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 12), datetime.date(2018, 6, 15)]|2018-06-12
3174|3175|24.37||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 5), datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 12), datetime.date(2018, 6, 15)]|2018-06-15
3175|3176|38.11|2018-07-02|[]|[datetime.date(2018, 6, 15)]|2018-06-15
3176|3177|10.94||[]|[]|
3177|3178|15.89||[]|[]|
3178|3179|2.68||[]|[datetime.date(2018, 6, 4)]|2018-06-04
3179|3180|6.81||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 5), datetime.date(2018, 6, 7), datetime.date(2018, 6, 10), datetime.date(2018, 6, 12)]|2018-03-31
3179|3180|6.81||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 5), datetime.date(2018, 6, 7), datetime.date(2018, 6, 10), datetime.date(2018, 6, 12)]|2018-06-05
3179|3180|6.81||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 5), datetime.date(2018, 6, 7), datetime.date(2018, 6, 10), datetime.date(2018, 6, 12)]|2018-06-07
3179|3180|6.81||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 5), datetime.date(2018, 6, 7), datetime.date(2018, 6, 10), datetime.date(2018, 6, 12)]|2018-06-10
3179|3180|6.81||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 5), datetime.date(2018, 6, 7), datetime.date(2018, 6, 10), datetime.date(2018, 6, 12)]|2018-06-12
3180|3181|17.87||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7)]|2018-03-31
3180|3181|17.87||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7)]|2018-06-07
3181|3182|27.71||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 12), datetime.date(2018, 6, 15)]|2018-03-31
3181|3182|27.71||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 12), datetime.date(2018, 6, 15)]|2018-06-07
3181|3182|27.71||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 12), datetime.date(2018, 6, 15)]|2018-06-12
3181|3182|27.71||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 12), datetime.date(2018, 6, 15)]|2018-06-15
3182|3183|12.02||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 12)]|2018-03-31
3182|3183|12.02||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 12)]|2018-06-07
3182|3183|12.02||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 12)]|2018-06-12
3183|3184|36.29||[]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 9), datetime.date(2018, 6, 10)]|2018-06-02
3183|3184|36.29||[]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 9), datetime.date(2018, 6, 10)]|2018-06-05
3183|3184|36.29||[]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 9), datetime.date(2018, 6, 10)]|2018-06-06
3183|3184|36.29||[]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 9), datetime.date(2018, 6, 10)]|2018-06-07
3183|3184|36.29||[]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 9), datetime.date(2018, 6, 10)]|2018-06-09
3183|3184|36.29||[]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 9), datetime.date(2018, 6, 10)]|2018-06-10
3184|3185|14.03|2018-07-02|[]|[datetime.date(2018, 6, 7)]|2018-06-07
3185|3186|9.2|2018-07-02|[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 8)]|2018-03-31
3185|3186|9.2|2018-07-02|[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 8)]|2018-06-03
3185|3186|9.2|2018-07-02|[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 8)]|2018-06-08
3186|3187|6.18||[]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 12)]|2018-06-02
3186|3187|6.18||[]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 12)]|2018-06-12
3187|3188|31.76||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 12)]|2018-03-31
3187|3188|31.76||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 12)]|2018-06-07
3187|3188|31.76||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 12)]|2018-06-12
3188|3189|21.78||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 12)]|2018-03-31
3188|3189|21.78||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 12)]|2018-06-07
3188|3189|21.78||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 12)]|2018-06-12
3189|3190|19.52||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 10), datetime.date(2018, 6, 12)]|2018-03-31
3189|3190|19.52||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 10), datetime.date(2018, 6, 12)]|2018-06-07
3189|3190|19.52||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 10), datetime.date(2018, 6, 12)]|2018-06-10
3189|3190|19.52||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 10), datetime.date(2018, 6, 12)]|2018-06-12
3190|3191|39.37||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 6)]|2018-03-31
3190|3191|39.37||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 6)]|2018-06-06
3191|3192|24.37||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7)]|2018-03-31
3191|3192|24.37||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7)]|2018-06-07
3192|3193|106.97||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 8)]|2018-03-31
3192|3193|106.97||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 8)]|2018-06-07
3192|3193|106.97||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 8)]|2018-06-08
3193|3194|16.22||[]|[datetime.date(2018, 6, 13), datetime.date(2018, 6, 14)]|2018-06-13
3193|3194|16.22||[]|[datetime.date(2018, 6, 13), datetime.date(2018, 6, 14)]|2018-06-14
3194|3195|43.1||[]|[datetime.date(2018, 6, 14)]|2018-06-14
3195|3196|51.66||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 15)]|2018-03-31
3195|3196|51.66||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 15)]|2018-06-15
3196|3197|62.78||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 13)]|2018-03-31
3196|3197|62.78||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 13)]|2018-06-13
3197|3198|8.02||[]|[datetime.date(2018, 6, 15)]|2018-06-15
3198|3199|5.35||[]|[]|
3199|3200|5.17||[datetime.date(2018, 2, 24)]|[datetime.date(2018, 6, 4)]|2018-02-24
3199|3200|5.17||[datetime.date(2018, 2, 24)]|[datetime.date(2018, 6, 4)]|2018-06-04
3200|3201|3.74||[datetime.date(2018, 2, 24)]|[]|2018-02-24
3201|3202|11.23||[datetime.date(2018, 2, 24)]|[datetime.date(2018, 6, 5), datetime.date(2018, 6, 10)]|2018-02-24
3201|3202|11.23||[datetime.date(2018, 2, 24)]|[datetime.date(2018, 6, 5), datetime.date(2018, 6, 10)]|2018-06-05
3201|3202|11.23||[datetime.date(2018, 2, 24)]|[datetime.date(2018, 6, 5), datetime.date(2018, 6, 10)]|2018-06-10
3202|3203|32.63||[datetime.date(2018, 2, 24)]|[datetime.date(2018, 6, 6)]|2018-02-24
3202|3203|32.63||[datetime.date(2018, 2, 24)]|[datetime.date(2018, 6, 6)]|2018-06-06
3203|3204|3.0||[datetime.date(2018, 2, 24), datetime.date(2018, 3, 27)]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6)]|2018-02-24
3203|3204|3.0||[datetime.date(2018, 2, 24), datetime.date(2018, 3, 27)]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6)]|2018-03-27
3203|3204|3.0||[datetime.date(2018, 2, 24), datetime.date(2018, 3, 27)]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6)]|2018-06-03
3203|3204|3.0||[datetime.date(2018, 2, 24), datetime.date(2018, 3, 27)]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6)]|2018-06-04
3203|3204|3.0||[datetime.date(2018, 2, 24), datetime.date(2018, 3, 27)]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6)]|2018-06-05
3203|3204|3.0||[datetime.date(2018, 2, 24), datetime.date(2018, 3, 27)]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6)]|2018-06-06
3204|3205|4.59||[datetime.date(2018, 2, 24)]|[]|2018-02-24
3205|3206|19.31||[datetime.date(2018, 2, 24), datetime.date(2018, 3, 27)]|[datetime.date(2018, 6, 6), datetime.date(2018, 6, 8), datetime.date(2018, 6, 9), datetime.date(2018, 6, 10)]|2018-02-24
3205|3206|19.31||[datetime.date(2018, 2, 24), datetime.date(2018, 3, 27)]|[datetime.date(2018, 6, 6), datetime.date(2018, 6, 8), datetime.date(2018, 6, 9), datetime.date(2018, 6, 10)]|2018-03-27
3205|3206|19.31||[datetime.date(2018, 2, 24), datetime.date(2018, 3, 27)]|[datetime.date(2018, 6, 6), datetime.date(2018, 6, 8), datetime.date(2018, 6, 9), datetime.date(2018, 6, 10)]|2018-06-06
3205|3206|19.31||[datetime.date(2018, 2, 24), datetime.date(2018, 3, 27)]|[datetime.date(2018, 6, 6), datetime.date(2018, 6, 8), datetime.date(2018, 6, 9), datetime.date(2018, 6, 10)]|2018-06-08
3205|3206|19.31||[datetime.date(2018, 2, 24), datetime.date(2018, 3, 27)]|[datetime.date(2018, 6, 6), datetime.date(2018, 6, 8), datetime.date(2018, 6, 9), datetime.date(2018, 6, 10)]|2018-06-09
3205|3206|19.31||[datetime.date(2018, 2, 24), datetime.date(2018, 3, 27)]|[datetime.date(2018, 6, 6), datetime.date(2018, 6, 8), datetime.date(2018, 6, 9), datetime.date(2018, 6, 10)]|2018-06-10
3206|3207|3.29||[datetime.date(2018, 2, 24), datetime.date(2018, 3, 27)]|[datetime.date(2018, 6, 5)]|2018-02-24
3206|3207|3.29||[datetime.date(2018, 2, 24), datetime.date(2018, 3, 27)]|[datetime.date(2018, 6, 5)]|2018-03-27
3206|3207|3.29||[datetime.date(2018, 2, 24), datetime.date(2018, 3, 27)]|[datetime.date(2018, 6, 5)]|2018-06-05
3207|3208|3.89||[datetime.date(2018, 2, 24)]|[datetime.date(2018, 6, 5)]|2018-02-24
3207|3208|3.89||[datetime.date(2018, 2, 24)]|[datetime.date(2018, 6, 5)]|2018-06-05
3208|3209|26.77||[datetime.date(2018, 2, 24), datetime.date(2018, 3, 27)]|[]|2018-02-24
3208|3209|26.77||[datetime.date(2018, 2, 24), datetime.date(2018, 3, 27)]|[]|2018-03-27
3209|3210|2.27||[datetime.date(2018, 2, 24), datetime.date(2018, 3, 27)]|[datetime.date(2018, 6, 5)]|2018-02-24
3209|3210|2.27||[datetime.date(2018, 2, 24), datetime.date(2018, 3, 27)]|[datetime.date(2018, 6, 5)]|2018-03-27
3209|3210|2.27||[datetime.date(2018, 2, 24), datetime.date(2018, 3, 27)]|[datetime.date(2018, 6, 5)]|2018-06-05
3210|3211|5.54||[datetime.date(2018, 2, 24), datetime.date(2018, 3, 27)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 3)]|2018-02-24
3210|3211|5.54||[datetime.date(2018, 2, 24), datetime.date(2018, 3, 27)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 3)]|2018-03-27
3210|3211|5.54||[datetime.date(2018, 2, 24), datetime.date(2018, 3, 27)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 3)]|2018-06-02
3210|3211|5.54||[datetime.date(2018, 2, 24), datetime.date(2018, 3, 27)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 3)]|2018-06-03
3211|3212|34.24||[]|[]|
3212|3213|1.21||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 10)]|2018-03-31
3212|3213|1.21||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 10)]|2018-06-02
3212|3213|1.21||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 10)]|2018-06-03
3212|3213|1.21||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 10)]|2018-06-04
3212|3213|1.21||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 10)]|2018-06-06
3212|3213|1.21||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 10)]|2018-06-07
3212|3213|1.21||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 10)]|2018-06-08
3212|3213|1.21||[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 10)]|2018-06-10
3213|3214|34.81||[datetime.date(2018, 3, 31)]|[]|2018-03-31
3214|3215|33.76|2018-07-12|[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 12), datetime.date(2018, 6, 15)]|2018-03-31
3214|3215|33.76|2018-07-12|[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 12), datetime.date(2018, 6, 15)]|2018-06-07
3214|3215|33.76|2018-07-12|[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 12), datetime.date(2018, 6, 15)]|2018-06-12
3214|3215|33.76|2018-07-12|[datetime.date(2018, 3, 31)]|[datetime.date(2018, 6, 7), datetime.date(2018, 6, 12), datetime.date(2018, 6, 15)]|2018-06-15
3215|3216|0.97||[]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 10)]|2018-06-03
3215|3216|0.97||[]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 10)]|2018-06-05
3215|3216|0.97||[]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 10)]|2018-06-06
3215|3216|0.97||[]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 10)]|2018-06-07
3215|3216|0.97||[]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 10)]|2018-06-08
3215|3216|0.97||[]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6), datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 10)]|2018-06-10
3216|3217|2.81||[]|[]|
3217|3218|11.52||[]|[]|
3218|3219|14.23||[datetime.date(2018, 3, 1)]|[datetime.date(2018, 6, 5)]|2018-03-01
3218|3219|14.23||[datetime.date(2018, 3, 1)]|[datetime.date(2018, 6, 5)]|2018-06-05
3219|3220|4.39||[datetime.date(2018, 3, 1)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6)]|2018-03-01
3219|3220|4.39||[datetime.date(2018, 3, 1)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6)]|2018-06-02
